minimum_nights,number_of_reviews,reviews_per_month,availability_365,price
2,5,0.11,4,65
2,4,0.94,0,160
2,13,0.52,0,149
1,54,4.34,341,125
1,2,0.41,301,890
7,0,1.3732214298586618,254,69
1,62,2.58,258,79
2,0,1.3732214298586618,3,115
3,4,0.53,5,180
1,2,0.17,0,70
2,21,1.94,125,57
3,57,1.51,93,199
1,5,0.22,0,75
3,0,1.3732214298586618,0,65
3,0,1.3732214298586618,0,250
2,1,0.07,0,102
14,11,0.15,332,75
3,5,3.85,320,550
2,1,0.09,363,500
1,94,5.18,187,190
30,4,0.12,301,110
1,1,1.0,339,100
2,41,2.94,3,52
2,88,1.31,223,250
2,41,1.18,242,175
1,78,2.22,365,150
5,0,1.3732214298586618,0,99
3,0,1.3732214298586618,0,125
2,1,0.16,0,70
14,0,1.3732214298586618,0,49
2,5,0.11,0,200
1,12,0.33,0,49
2,5,0.06,365,75
30,1,0.23,351,239
2,0,1.3732214298586618,35,55
1,5,0.15,0,55
3,89,2.53,66,55
4,6,0.16,0,110
1,0,1.3732214298586618,177,2000
3,29,0.36,15,59
2,31,3.31,169,115
3,2,0.06,0,160
13,2,0.17,0,37
3,13,0.22,0,145
1,1,0.03,0,80
21,0,1.3732214298586618,0,82
1,6,0.71,0,50
3,4,0.05,0,200
2,53,1.06,0,160
3,44,1.4,64,169
3,31,0.57,0,210
2,3,0.36,158,525
4,6,0.22,6,50
3,12,0.22,0,120
1,1,0.3,0,84
3,6,0.46,1,113
2,6,0.12,0,200
10,5,0.24,0,150
3,1,0.26,7,350
2,0,1.3732214298586618,2,800
1,0,1.3732214298586618,179,159
2,2,0.15,0,75
3,1,1.0,5,140
2,3,0.16,0,55
90,0,1.3732214298586618,173,80
2,14,0.52,0,54
3,15,0.3,0,350
1,5,4.69,31,70
7,1,0.67,313,25
2,114,1.82,314,155
1,19,6.63,37,115
1,5,0.11,0,90
1,35,0.92,365,50
2,119,1.93,0,220
2,4,4.0,29,190
1,113,2.89,288,49
1,4,0.17,0,57
4,2,0.35,0,49
3,10,0.17,0,900
3,5,0.43,362,1500
2,52,1.11,72,150
1,63,2.34,29,69
3,8,0.32,0,110
30,4,0.07,47,115
1,0,1.3732214298586618,0,750
2,7,0.77,3,95
1,71,8.99,35,80
3,15,0.43,4,198
7,25,0.3,359,95
3,10,0.4,0,136
1,0,1.3732214298586618,0,180
3,50,1.27,352,130
1,6,2.77,2,195
1,1,0.02,0,60
1,5,1.2,338,185
7,15,0.41,0,80
1,1,0.01,0,80
5,0,1.3732214298586618,0,175
7,9,0.75,337,62
2,22,1.6,47,250
1,0,1.3732214298586618,0,275
2,37,0.88,0,94
2,6,0.42,39,136
2,4,0.31,0,95
2,61,2.14,42,69
7,0,1.3732214298586618,0,42
3,3,3.0,0,320
2,28,1.34,0,62
6,0,1.3732214298586618,0,90
1,0,1.3732214298586618,0,190
2,3,0.24,0,155
1,67,1.56,8,49
1,1,0.02,0,60
2,14,1.99,0,60
3,3,0.08,0,120
30,52,0.6,314,139
2,29,3.27,65,350
1,114,1.71,157,290
7,2,0.1,0,45
30,3,0.45,339,125
35,0,1.3732214298586618,0,80
6,7,0.96,4,149
30,0,1.3732214298586618,84,37
2,3,3.0,268,149
2,81,5.63,6,112
3,0,1.3732214298586618,0,175
3,1,0.26,281,40
5,7,0.38,1,221
3,0,1.3732214298586618,359,300
2,0,1.3732214298586618,90,75
2,4,0.21,0,195
2,11,0.93,6,120
1,0,1.3732214298586618,0,260
2,1,0.37,0,150
