minimum_nights,number_of_reviews,reviews_per_month,availability_365,price
3,23,1.18,166,125
2,25,0.74,30,188
13,0,1.3732214298586618,0,55
1,180,5.07,229,250
2,1,0.02,0,101
3,24,1.94,337,200
2,148,3.26,216,275
29,1,0.88,363,244
2,4,0.31,0,180
1,48,2.38,2,250
500,0,1.3732214298586618,362,75
20,4,0.3,0,142
3,91,3.5,294,65
1,18,3.91,248,399
2,63,2.53,102,69
2,4,0.11,0,95
29,0,1.3732214298586618,357,110
181,82,1.07,188,155
1,0,1.3732214298586618,112,70
30,0,1.3732214298586618,283,350
30,0,1.3732214298586618,354,40
1,0,1.3732214298586618,0,180
1,12,0.75,0,50
5,25,0.37,13,140
7,1,0.04,0,60
3,0,1.3732214298586618,0,95
1,0,1.3732214298586618,352,120
2,4,0.99,0,195
30,35,3.06,365,65
5,11,0.27,2,120
1,9,2.87,157,65
1,66,0.89,365,80
2,7,0.18,4,205
15,3,0.1,0,75
3,2,0.06,0,65
3,1,0.21,200,737
3,0,1.3732214298586618,125,47
1,0,1.3732214298586618,0,60
3,5,0.36,13,80
30,1,0.1,137,55
2,219,2.44,277,75
2,6,0.51,5,275
1,1,0.02,0,125
2,11,2.39,314,85
1,59,1.26,90,48
3,175,4.1,49,35
1,76,2.44,163,95
1,0,1.3732214298586618,0,90
3,7,0.08,0,315
3,1,0.05,0,41
3,26,0.68,0,50
3,18,3.1,70,155
3,13,0.29,0,70
30,1,1.0,325,34
3,0,1.3732214298586618,70,80
3,1,0.6,270,69
90,0,1.3732214298586618,281,306
3,10,0.13,251,82
2,5,0.11,0,250
3,218,2.26,324,90
2,18,0.77,0,80
2,0,1.3732214298586618,0,150
7,1,0.94,125,50
15,6,0.27,0,110
1,19,1.02,177,51
15,0,1.3732214298586618,8,50
2,9,4.15,317,161
6,0,1.3732214298586618,0,100
30,0,1.3732214298586618,358,42
2,61,2.36,65,49
8,37,0.87,85,119
2,4,0.46,20,50
1,9,0.15,0,170
1,47,2.2,336,175
5,48,2.22,46,245
7,9,0.16,268,100
1,2,0.04,138,109
2,2,0.06,0,160
1,0,1.3732214298586618,58,115
2,5,0.33,0,90
90,0,1.3732214298586618,115,332
30,10,0.44,126,133
4,5,0.64,31,355
1,0,1.3732214298586618,0,800
7,0,1.3732214298586618,204,135
2,1,0.06,0,100
28,1,0.6,234,675
1,54,4.82,2,89
2,1,0.15,0,600
3,81,3.46,27,350
3,72,2.56,67,95
5,2,0.14,0,90
1,1,0.18,0,49
2,152,2.03,12,75
3,5,0.58,83,175
30,1,0.3,0,52
10,4,0.06,0,100
2,0,1.3732214298586618,0,125
2,2,1.5,338,229
7,45,1.06,161,80
2,11,1.94,107,99
5,2,0.1,0,65
1,23,0.27,333,49
4,22,0.45,2,200
1,16,5.05,151,40
5,0,1.3732214298586618,362,40
1,0,1.3732214298586618,0,275
1,10,0.35,173,47
2,32,0.55,74,100
3,32,0.29,16,105
1,0,1.3732214298586618,360,930
3,6,0.13,0,130
2,49,3.79,2,125
2,15,1.67,262,45
7,0,1.3732214298586618,0,47
4,70,1.76,51,120
7,4,0.13,0,140
1,0,1.3732214298586618,214,349
30,0,1.3732214298586618,83,180
1,18,3.6,93,30
2,31,0.52,10,195
3,0,1.3732214298586618,0,50
2,136,3.07,48,60
3,21,2.03,8,225
5,1,1.0,7,70
10,116,1.17,174,85
3,104,4.29,293,275
3,4,0.07,0,275
3,3,0.07,362,50
4,10,0.57,364,132
3,2,0.08,0,150
2,97,1.47,40,235
4,17,0.76,303,65
3,1,0.27,0,139
3,0,1.3732214298586618,0,140
30,7,0.14,188,200
14,0,1.3732214298586618,174,50
5,15,0.19,260,140
5,0,1.3732214298586618,0,65
30,0,1.3732214298586618,365,28
2,204,3.51,71,125
1,20,5.04,242,48
1,10,2.94,126,75
2,15,1.77,330,25
4,2,1.4,355,300
3,1,0.05,0,60
1,26,1.1,365,37
30,1,0.15,108,120
2,5,5.0,356,120
30,0,1.3732214298586618,341,35
7,2,1.0,14,67
2,0,1.3732214298586618,0,130
4,19,1.32,76,140
240,0,1.3732214298586618,280,45
3,2,0.04,0,75
30,4,0.13,0,185
3,3,1.29,35,245
3,10,0.28,66,99
2,39,5.37,78,90
1,1,0.05,0,200
1,46,0.84,353,230
60,1,0.05,0,27
2,6,3.46,335,239
6,2,0.22,311,43
1,1,0.05,1,50
3,11,0.38,79,35
3,2,0.13,0,93
4,21,0.41,306,122
2,9,0.12,363,248
3,1,0.13,0,76
10,0,1.3732214298586618,0,40
2,1,0.5,365,39
2,0,1.3732214298586618,179,110
4,2,0.04,0,120
3,10,0.57,0,46
1,4,0.23,0,80
2,13,2.22,294,49
3,5,0.1,0,50
2,76,2.69,209,385
3,0,1.3732214298586618,344,150
7,5,0.66,32,175
7,0,1.3732214298586618,11,200
2,93,3.37,208,50
7,11,0.63,143,119
4,0,1.3732214298586618,0,220
7,17,0.53,5,180
7,0,1.3732214298586618,174,250
20,5,0.39,64,105
3,8,0.17,0,70
1,12,7.2,288,89
1,1,0.05,0,70
2,63,1.66,344,168
31,0,1.3732214298586618,316,200
2,102,3.33,99,25
2,18,0.5,0,700
1,3,0.06,343,55
1,0,1.3732214298586618,321,300
1,1,0.06,0,150
5,11,0.78,90,35
2,4,0.08,0,95
1,0,1.3732214298586618,0,100
1,2,0.05,0,150
2,0,1.3732214298586618,0,50
6,2,0.17,0,45
2,17,0.92,72,275
7,0,1.3732214298586618,365,100
5,86,1.15,344,240
1,0,1.3732214298586618,298,89
2,121,2.02,0,150
1,1,0.38,0,48
2,5,0.12,0,264
2,32,3.08,132,40
1,3,0.93,364,75
1,38,0.6,239,65
3,15,0.88,31,65
10,8,0.52,90,225
3,0,1.3732214298586618,363,199
30,2,0.08,0,125
1,1,0.02,0,180
2,164,4.72,206,189
2,8,0.42,0,75
3,116,2.56,38,195
1,33,0.84,337,35
3,0,1.3732214298586618,0,154
7,1,0.02,0,175
5,35,1.27,303,120
2,1,1.0,3,265
3,24,0.33,365,160
20,0,1.3732214298586618,188,90
2,12,3.91,35,120
12,3,1.73,41,78
1,54,7.47,0,115
5,21,0.42,34,49
30,32,0.91,343,199
4,0,1.3732214298586618,0,225
3,18,0.89,365,143
30,5,0.37,344,175
7,0,1.3732214298586618,0,133
1,52,0.82,291,145
3,2,0.05,0,170
2,2,1.02,156,82
3,1,0.03,0,200
1,8,0.08,0,190
1,296,10.6,322,55
5,25,1.49,77,119
1,53,2.33,21,80
3,59,1.71,0,50
15,0,1.3732214298586618,332,129
4,21,3.56,52,125
2,6,2.77,292,42
3,4,0.31,0,240
1,24,1.01,0,105
30,0,1.3732214298586618,331,369
30,1,0.05,364,150
4,8,0.19,0,270
2,73,4.86,3,100
2,61,2.72,239,105
1,87,1.37,267,399
7,12,0.63,3,75
3,1,0.42,1,125
1,1,0.06,0,47
1,33,2.36,49,60
29,0,1.3732214298586618,31,35
1,2,2.0,0,100
3,98,3.45,68,79
3,0,1.3732214298586618,0,65
30,3,0.16,0,100
2,18,3.02,6,42
3,11,2.73,54,35
3,19,1.03,97,400
5,5,1.95,220,349
7,1,0.26,157,50
1,53,4.68,306,85
5,0,1.3732214298586618,365,650
1,2,0.35,126,120
3,6,0.55,154,55
1,1,0.03,0,67
2,119,2.95,300,150
2,23,1.36,196,169
1,0,1.3732214298586618,20,125
4,0,1.3732214298586618,141,250
3,0,1.3732214298586618,0,170
12,2,0.05,281,45
2,19,1.03,363,349
2,38,4.73,192,129
1,8,0.17,0,180
5,0,1.3732214298586618,0,40
1,11,0.92,0,55
3,7,0.14,0,105
1,28,1.14,13,50
1,22,0.63,319,75
2,130,3.3,139,325
5,88,2.23,326,149
5,91,1.65,288,300
2,8,1.41,0,120
2,11,0.83,365,65
2,44,2.92,174,97
2,38,4.49,267,350
7,5,0.19,0,180
1,5,0.12,0,100
2,10,5.88,87,120
1,141,5.44,76,130
1,157,3.04,137,65
29,0,1.3732214298586618,329,192
1,22,2.14,82,39
3,14,0.46,0,95
1,1,0.28,0,94
5,4,0.53,280,69
2,51,2.44,33,170
30,0,1.3732214298586618,89,150
14,12,0.22,0,60
3,1,0.05,0,50
3,2,0.06,0,150
3,18,0.25,0,150
3,46,0.83,88,44
2,8,0.5,176,125
3,5,0.19,0,133
2,6,1.13,312,355
1,1,0.05,0,70
1,10,10.0,143,109
30,2,0.15,268,64
15,0,1.3732214298586618,35,300
15,14,0.38,251,60
1,13,7.5,316,60
1,1,0.04,0,84
7,1,0.1,147,175
1,1,0.05,0,35
3,2,0.04,0,55
2,23,0.64,54,425
2,16,1.14,0,50
1,0,1.3732214298586618,355,135
3,20,1.63,0,50
1,5,0.09,365,4500
4,13,0.38,0,179
1,11,4.58,256,95
3,2,0.16,24,200
5,0,1.3732214298586618,60,84
1,3,0.13,0,50
1,82,2.45,67,88
1,0,1.3732214298586618,0,37
5,0,1.3732214298586618,358,110
12,1,0.61,332,750
2,12,1.86,132,89
30,0,1.3732214298586618,261,365
1,1,0.04,0,100
2,2,2.0,11,198
2,6,0.24,0,200
2,22,0.69,21,350
4,70,0.75,283,110
3,4,3.33,181,120
2,2,2.0,0,49
3,0,1.3732214298586618,0,50
15,0,1.3732214298586618,0,50
7,0,1.3732214298586618,281,50
3,4,0.13,0,135
2,426,3.89,275,76
1,114,3.18,305,37
1,0,1.3732214298586618,365,75
2,40,1.92,9,90
4,118,2.34,269,45
7,2,0.17,0,85
1,412,10.19,159,45
3,1,0.02,0,65
2,100,2.15,307,97
5,46,0.91,338,100
3,9,0.78,0,130
2,10,0.19,0,110
2,114,2.86,250,155
2,0,1.3732214298586618,0,49
2,48,2.44,227,120
3,12,6.55,173,150
1,1,0.04,0,119
3,1,0.09,365,33
1,10,0.82,116,43
2,3,0.13,0,195
5,2,0.76,3,173
1,19,5.33,345,115
2,17,2.25,348,136
2,29,3.14,36,225
4,0,1.3732214298586618,344,307
5,37,0.45,310,120
3,248,2.25,215,130
2,52,2.19,28,125
4,17,3.09,265,145
30,0,1.3732214298586618,194,274
2,5,1.43,268,214
1,25,0.81,156,69
4,58,3.16,32,39
3,59,2.89,42,58
2,6,6.0,137,150
3,13,0.15,83,225
2,117,1.99,270,125
2,0,1.3732214298586618,47,95
30,0,1.3732214298586618,200,195
1,1,1.0,130,150
30,4,0.17,332,163
2,2,0.13,0,200
2,29,0.81,38,105
3,7,0.07,351,239
1,7,4.04,296,100
31,2,0.16,362,40
2,31,2.69,35,187
1,2,0.03,0,150
30,0,1.3732214298586618,310,86
5,0,1.3732214298586618,21,60
1,26,1.41,115,49
1,82,0.94,365,39
3,11,0.28,364,150
2,4,0.13,0,80
3,5,0.51,0,10
2,18,5.35,51,35
2,129,2.8,235,165
3,9,0.58,32,89
3,1,1.0,263,450
30,0,1.3732214298586618,293,217
36,0,1.3732214298586618,0,175
1,42,3.37,221,49
2,1,0.04,0,80
1,3,0.04,188,225
30,0,1.3732214298586618,314,34
3,78,1.68,177,177
1,116,2.38,236,129
1,1,0.03,0,90
3,4,0.63,9,175
30,0,1.3732214298586618,281,150
1,19,0.9,18,40
2,3,0.36,0,390
6,60,3.22,112,185
5,0,1.3732214298586618,0,130
3,34,0.75,0,80
1,114,7.97,38,89
3,5,0.53,365,289
5,0,1.3732214298586618,188,130
7,107,2.4,249,249
9,10,0.24,0,125
2,20,0.99,29,140
3,0,1.3732214298586618,0,75
2,52,0.71,193,200
6,9,0.49,4,589
2,9,0.8,0,199
2,7,0.12,0,99
2,17,1.73,0,135
2,2,0.11,0,175
1,93,2.28,90,29
2,119,6.44,20,84
1,0,1.3732214298586618,0,70
6,0,1.3732214298586618,67,60
1,0,1.3732214298586618,0,65
2,18,6.67,205,70
15,1,0.94,0,65
4,9,0.22,0,90
2,15,0.64,4,180
2,0,1.3732214298586618,0,275
4,5,0.4,0,195
4,122,3.01,236,195
1,20,1.81,188,50
3,7,0.62,67,200
30,1,0.03,311,400
3,22,0.7,89,65
5,26,0.8,0,89
2,1,0.02,0,52
1,0,1.3732214298586618,0,125
4,56,1.07,15,89
6,1,0.48,0,225
2,19,0.55,5,265
6,8,0.23,9,275
2,1,0.02,0,130
5,2,0.08,179,49
4,3,0.1,0,180
2,0,1.3732214298586618,0,50
3,2,2.0,281,330
2,15,0.49,11,131
14,0,1.3732214298586618,0,40
4,4,0.72,8,85
1,3,2.0,365,77
2,0,1.3732214298586618,0,60
2,38,1.6,38,45
21,10,0.17,14,100
29,1,0.21,35,32
3,5,2.5,319,239
2,3,0.08,0,250
1,0,1.3732214298586618,365,135
2,37,2.32,333,179
1,4,0.15,0,74
1,0,1.3732214298586618,0,70
2,2,0.09,0,65
3,0,1.3732214298586618,3,47
1,0,1.3732214298586618,333,51
5,0,1.3732214298586618,38,80
14,30,0.35,317,99
1,22,1.99,347,63
7,19,0.32,24,150
1,4,0.11,0,85
1,0,1.3732214298586618,19,63
3,4,1.15,26,119
2,6,0.48,0,90
4,5,0.35,0,55
2,2,0.06,0,100
4,0,1.3732214298586618,0,175
1,0,1.3732214298586618,0,55
2,54,2.09,174,50
7,4,0.33,31,400
3,1,0.25,0,75
1,51,7.18,291,138
2,53,1.64,324,86
30,1,0.19,332,130
1,13,1.06,331,60
2,2,0.07,0,250
1,3,0.07,0,65
1,19,2.5,48,49
1,13,1.84,346,207
1,28,14.0,20,100
1,0,1.3732214298586618,0,100
7,2,1.58,324,75
4,4,0.24,0,220
1,124,3.97,64,71
3,4,1.88,68,89
4,0,1.3732214298586618,39,149
2,0,1.3732214298586618,0,100
3,1,0.04,0,65
24,0,1.3732214298586618,181,57
14,1,0.16,14,90
1,156,3.58,22,180
20,157,1.71,0,450
1,6,4.86,177,225
1,150,2.68,35,80
30,1,0.12,311,129
30,0,1.3732214298586618,323,271
30,99,1.57,151,100
1,4,1.79,22,80
5,0,1.3732214298586618,0,39
1,10,0.28,0,90
3,58,4.17,67,176
2,34,1.55,239,300
2,14,3.96,149,290
30,2,0.08,0,229
12,2,0.14,31,130
1,35,7.24,261,90
30,11,0.36,79,50
1,15,0.26,322,99
14,8,0.21,0,65
3,97,2.39,332,90
4,27,1.75,42,172
1,2,0.09,0,45
5,32,0.65,0,64
30,6,0.43,189,130
1,0,1.3732214298586618,364,189
4,12,0.42,0,100
3,3,0.15,0,70
2,26,2.26,315,108
7,0,1.3732214298586618,0,43
5,1,0.02,0,60
4,2,0.64,0,395
6,23,2.23,89,200
2,8,0.32,264,250
3,54,2.6,59,150
7,1,1.0,8,165
1,50,4.81,1,55
2,4,0.34,0,75
2,39,1.83,179,48
2,9,0.19,0,175
2,83,3.42,192,34
3,19,0.44,88,52
20,3,1.14,23,88
2,5,0.1,0,155
2,61,2.36,117,150
3,20,3.02,155,370
5,15,0.16,0,265
3,3,0.09,0,89
31,0,1.3732214298586618,333,130
1,4,0.06,0,270
1,0,1.3732214298586618,352,37
3,2,0.06,0,180
3,83,1.19,255,139
1,0,1.3732214298586618,0,120
2,12,3.79,85,150
1,120,4.77,34,115
5,0,1.3732214298586618,0,145
3,0,1.3732214298586618,0,120
3,10,1.38,0,345
10,0,1.3732214298586618,0,40
2,17,0.92,36,40
7,13,0.36,0,49
12,9,0.38,0,45
3,0,1.3732214298586618,0,89
1,12,0.45,0,119
3,0,1.3732214298586618,101,250
1,1,0.03,0,120
2,1,1.0,365,90
2,49,5.18,62,199
1,66,1.51,231,169
4,111,1.9,9,185
1,14,4.52,306,300
5,6,0.28,0,55
6,0,1.3732214298586618,0,200
1,0,1.3732214298586618,0,300
180,0,1.3732214298586618,173,250
3,1,0.03,0,250
25,0,1.3732214298586618,0,40
2,4,1.79,272,217
1,55,0.94,354,149
3,5,0.12,0,120
1,1,0.09,59,195
7,1,0.03,0,75
2,68,2.9,43,200
2,20,1.82,224,70
4,0,1.3732214298586618,31,125
3,95,2.48,122,225
30,0,1.3732214298586618,339,300
13,20,0.41,14,51
1,1,0.02,0,65
2,46,1.2,72,65
6,0,1.3732214298586618,0,60
5,24,0.7,137,350
1,59,3.64,362,75
4,1,0.03,0,67
30,2,0.06,333,110
3,0,1.3732214298586618,365,89
2,9,1.61,281,172
4,14,3.96,323,200
1,19,5.28,58,75
6,25,1.79,84,75
7,3,0.06,0,70
1,3,1.11,311,72
4,76,1.07,5,35
7,12,1.01,2,175
2,2,2.0,22,125
3,5,0.37,5,95
1,18,1.01,0,50
1,1,0.32,95,45
2,5,0.24,188,83
5,4,4.0,285,120
1,7,0.12,0,95
1,16,1.1,0,160
2,7,0.3,0,189
6,5,0.13,0,110
3,13,0.82,83,55
5,0,1.3732214298586618,0,78
2,0,1.3732214298586618,98,70
1,2,0.07,0,112
3,8,0.79,79,190
3,8,0.25,324,90
7,26,0.41,182,130
3,47,1.06,287,81
3,1,0.02,0,300
7,14,0.37,326,195
2,129,3.32,39,60
3,1,0.02,0,160
3,1,0.03,0,200
3,9,0.59,0,220
2,3,0.08,0,65
4,173,2.12,258,550
7,5,0.15,1,250
2,26,0.76,155,99
2,22,3.59,107,59
1,3,0.3,0,200
1,0,1.3732214298586618,346,79
1,0,1.3732214298586618,22,161
2,33,3.6,282,68
1,1,0.03,188,150
3,180,4.2,263,143
4,1,0.02,0,224
4,1,0.16,0,375
2,34,1.11,29,49
1,4,4.0,36,66
1,26,3.21,363,49
30,17,0.47,190,250
1,3,0.08,0,195
5,27,0.5,2,125
6,15,1.86,147,59
7,0,1.3732214298586618,37,49
1,1,0.14,0,45
3,170,3.64,37,159
2,31,0.44,20,70
4,24,1.3,355,140
1,0,1.3732214298586618,0,150
1,43,2.26,89,50
5,47,0.9,89,62
2,3,0.14,0,48
2,0,1.3732214298586618,358,63
30,2,0.05,333,116
7,3,2.81,182,55
3,0,1.3732214298586618,0,60
3,0,1.3732214298586618,0,65
3,9,0.42,0,99
3,1,0.07,0,50
3,2,0.22,16,200
4,2,1.36,3,150
30,0,1.3732214298586618,0,166
3,3,2.73,118,249
5,6,2.5,252,300
3,3,0.23,0,60
2,157,4.27,67,38
4,32,2.36,216,150
30,0,1.3732214298586618,364,175
1,14,0.87,2,80
2,25,3.99,261,130
1,1,0.31,15,80
1,29,3.33,8,75
3,8,0.17,0,185
2,9,0.19,0,46
1,59,9.03,36,79
30,0,1.3732214298586618,1,283
1,78,4.79,5,95
2,198,4.87,39,90
30,0,1.3732214298586618,0,32
5,1,0.05,0,250
30,0,1.3732214298586618,337,135
1,0,1.3732214298586618,0,148
2,22,2.83,103,100
3,0,1.3732214298586618,9,135
13,2,0.04,0,115
1,117,1.61,236,45
5,6,0.07,0,75
5,4,0.41,53,150
3,0,1.3732214298586618,0,235
2,7,0.33,37,139
3,45,4.49,180,189
2,4,0.09,0,130
1,22,3.84,96,82
3,3,0.16,0,195
2,39,1.56,17,90
2,4,0.1,0,175
4,6,0.14,35,89
1,0,1.3732214298586618,160,120
3,33,4.01,325,128
30,0,1.3732214298586618,249,38
2,21,0.55,0,100
4,6,0.58,282,139
3,22,3.07,16,120
1,22,1.01,0,115
1,9,9.0,106,95
2,0,1.3732214298586618,0,75
3,40,2.02,0,125
1,3,0.42,0,80
2,3,0.12,0,35
4,3,0.07,0,139
2,3,1.06,157,200
2,40,3.18,119,280
6,0,1.3732214298586618,0,50
1,115,4.06,0,35
3,18,0.97,20,250
1,10,0.71,365,85
3,25,0.3,347,210
4,1,0.24,0,125
2,71,2.35,68,175
2,146,3.45,112,220
2,1,0.03,0,130
1,209,6.45,203,70
2,9,3.51,60,189
4,9,0.26,0,95
1,67,0.89,321,240
5,0,1.3732214298586618,163,165
1,0,1.3732214298586618,0,50
2,5,0.29,0,190
5,79,1.15,154,439
1,2,0.05,0,80
1,4,4.0,25,72
2,113,2.6,63,70
1,0,1.3732214298586618,0,180
7,8,2.16,243,110
2,0,1.3732214298586618,0,65
1,94,7.32,333,99
4,21,0.37,193,290
2,39,2.08,68,80
6,5,0.14,0,370
30,1,0.1,252,156
2,23,1.89,155,125
4,4,0.34,3,43
6,0,1.3732214298586618,364,80
2,25,1.09,0,129
28,0,1.3732214298586618,138,350
3,3,0.48,0,135
1,9,0.41,157,129
4,0,1.3732214298586618,60,46
1,64,2.55,4,50
3,38,0.89,2,133
5,1,0.16,0,120
4,31,1.63,8,130
3,124,1.56,158,125
1,7,0.19,0,95
3,13,0.17,219,135
30,1,0.05,350,163
3,2,0.04,0,135
1,6,0.17,0,95
1,16,2.34,0,55
29,0,1.3732214298586618,332,185
1,201,4.1,240,155
1,0,1.3732214298586618,83,60
5,84,1.25,295,33
1,10,2.75,47,99
30,7,0.4,71,160
30,0,1.3732214298586618,49,220
2,36,2.85,49,69
1,0,1.3732214298586618,0,25
3,4,4.0,302,295
3,0,1.3732214298586618,357,449
7,1,0.02,0,115
6,7,0.26,0,365
2,2,0.04,0,70
5,5,0.58,3,45
3,36,1.26,365,43
2,0,1.3732214298586618,10,229
5,20,1.04,341,120
2,4,0.67,112,118
2,1,1.0,11,100
6,15,3.19,63,70
1,1,0.42,350,199
1,7,0.16,0,127
7,1,0.83,21,42
1,75,1.81,171,125
31,4,1.52,139,139
1,5,2.42,51,200
2,1,1.0,245,260
2,14,1.18,306,45
6,2,0.2,0,180
1,254,5.59,222,90
7,100,1.61,203,120
1,0,1.3732214298586618,351,59
2,6,0.11,0,160
4,29,0.42,13,85
10,17,0.61,0,70
2,0,1.3732214298586618,0,68
5,3,0.25,0,140
3,1,0.03,0,65
1,2,0.08,178,200
1,50,1.59,61,75
2,1,0.39,53,75
2,205,5.83,233,185
2,5,0.13,0,150
1,0,1.3732214298586618,0,300
1,56,4.41,64,70
3,106,1.66,238,85
2,96,2.82,362,125
1,11,0.44,0,50
4,11,0.47,16,197
1,7,0.14,0,95
2,5,0.52,0,100
2,126,2.65,173,80
1,1,0.02,0,45
2,3,0.15,151,85
14,0,1.3732214298586618,59,60
30,0,1.3732214298586618,0,60
1,29,6.13,13,64
2,31,3.24,238,379
4,12,0.25,0,72
1,11,0.32,0,60
2,15,5.29,292,65
4,108,1.93,162,199
2,4,0.62,0,225
30,0,1.3732214298586618,36,150
3,4,1.18,253,188
4,27,0.58,0,245
2,9,0.66,0,100
1,82,3.01,52,45
3,88,5.42,137,80
30,12,0.21,336,65
5,89,2.62,179,584
3,1,1.0,365,150
4,150,1.88,192,95
1,3,0.22,83,450
20,3,0.25,0,50
2,1,0.88,61,250
3,12,0.23,0,450
2,20,1.38,78,399
1,145,3.55,33,180
2,18,0.44,0,142
7,4,1.19,260,35
28,0,1.3732214298586618,365,450
2,35,2.97,125,75
2,3,0.12,0,75
2,0,1.3732214298586618,267,600
2,96,2.5,357,99
40,0,1.3732214298586618,0,70
14,0,1.3732214298586618,0,225
5,71,2.67,66,100
3,19,1.37,360,109
10,35,0.46,51,200
4,2,0.04,0,50
1,32,1.29,364,70
3,155,2.18,159,250
3,1,0.02,0,180
5,0,1.3732214298586618,18,60
180,5,0.9,331,80
1,0,1.3732214298586618,0,100
1,35,2.25,43,28
30,17,0.43,335,45
2,92,4.33,4,148
1,89,4.35,58,85
4,46,1.15,9,276
30,0,1.3732214298586618,365,38
30,6,0.12,188,129
10,169,3.23,3,289
3,7,0.11,157,275
2,2,0.7,166,1200
1,1,0.21,37,40
1,1,0.02,0,80
2,71,1.53,151,85
4,1,0.04,0,100
90,0,1.3732214298586618,358,48
2,36,1.38,3,115
7,0,1.3732214298586618,29,125
30,0,1.3732214298586618,364,159
1,17,0.53,0,49
2,84,2.47,27,225
1,29,1.46,39,300
18,1,0.05,0,31
2,2,0.06,0,50
1,6,5.45,180,65
30,1,0.07,357,376
2,3,0.07,0,185
2,23,1.55,49,75
6,26,1.0,90,60
2,9,1.27,1,150
2,8,0.19,44,400
4,1,0.01,181,125
1,0,1.3732214298586618,0,60
7,5,1.17,214,142
1,14,0.96,234,80
2,3,0.97,365,140
2,103,4.34,3,57
1,17,2.79,231,25
2,61,3.17,337,100
3,23,1.18,357,200
2,38,1.69,244,175
31,1,0.02,0,180
1,2,0.41,363,129
2,68,2.22,69,85
1,8,2.07,23,100
5,0,1.3732214298586618,5,94
3,5,0.1,0,195
3,1,0.02,0,100
3,0,1.3732214298586618,52,100
2,6,0.27,62,42
27,3,0.06,17,50
1,0,1.3732214298586618,0,60
30,5,0.34,220,125
3,119,3.31,238,175
1,2,0.04,0,110
4,41,2.56,28,81
20,4,0.52,95,75
14,9,0.19,8,47
2,43,4.08,15,35
1,68,2.97,330,70
2,0,1.3732214298586618,364,55
2,31,2.4,319,70
4,1,0.02,0,120
5,14,5.06,137,420
4,1,0.16,0,299
30,2,0.04,7,100
3,2,0.04,0,150
1,75,4.59,81,138
4,0,1.3732214298586618,0,40
2,15,3.19,310,404
2,4,4.0,160,250
4,0,1.3732214298586618,0,105
31,0,1.3732214298586618,78,50
3,6,0.22,0,250
2,75,1.73,249,69
2,222,3.92,238,199
1,0,1.3732214298586618,0,79
1,3,0.93,365,52
30,0,1.3732214298586618,329,435
4,123,3.61,101,150
4,77,1.65,340,139
30,13,0.48,37,138
20,9,0.78,154,80
1,2,0.1,217,90
3,0,1.3732214298586618,0,100
4,0,1.3732214298586618,297,59
6,12,1.53,54,59
1,1,1.0,136,68
1,2,0.92,194,89
1,0,1.3732214298586618,0,115
4,0,1.3732214298586618,0,90
2,60,2.3,357,175
5,16,0.7,354,170
1,1,0.14,0,70
2,7,1.4,0,35
3,22,0.45,0,177
2,1,0.02,0,52
1,169,4.11,233,80
30,0,1.3732214298586618,246,45
3,0,1.3732214298586618,125,160
2,0,1.3732214298586618,0,200
4,11,1.46,19,65
3,19,2.16,77,295
2,2,0.07,0,139
30,7,0.08,241,100
6,35,0.69,11,200
2,0,1.3732214298586618,0,215
1,19,1.62,0,250
3,107,4.31,77,100
1,37,3.1,0,65
2,1,0.03,0,60
2,34,0.64,0,125
1,54,9.36,20,75
1,213,4.42,38,89
1,45,5.74,83,55
1,98,2.87,27,129
1,1,0.02,0,60
2,99,2.76,221,137
1,7,0.66,48,81
4,36,0.57,248,200
2,1,0.31,292,98
1,0,1.3732214298586618,10,145
1,13,1.36,141,26
3,0,1.3732214298586618,41,50
30,5,0.27,297,110
1,40,4.26,66,150
14,0,1.3732214298586618,0,75
2,7,5.83,123,115
7,139,1.23,311,125
4,1,0.02,0,70
1,6,0.26,0,187
5,0,1.3732214298586618,209,250
30,0,1.3732214298586618,342,65
2,1,1.0,270,100
30,0,1.3732214298586618,192,113
3,0,1.3732214298586618,0,164
2,3,3.0,174,55
3,0,1.3732214298586618,8,250
3,0,1.3732214298586618,10,250
3,31,0.78,353,814
2,25,2.26,21,50
1,255,8.17,175,45
200,0,1.3732214298586618,365,160
100,1,0.11,0,200
4,25,1.67,0,55
3,2,0.33,0,90
1,8,0.15,333,46
30,2,0.18,67,125
1,0,1.3732214298586618,0,200
3,13,0.22,157,200
1,76,1.65,0,109
5,32,1.2,0,100
2,3,0.06,0,250
3,30,0.51,173,250
18,1,0.05,0,40
1,8,0.47,21,79
1,2,0.03,0,90
1,1,1.0,89,100
1,0,1.3732214298586618,0,60
2,7,4.12,4,150
1,4,4.0,164,350
16,8,0.2,0,95
6,61,1.27,275,190
1,16,11.71,295,65
2,8,0.23,337,67
1,137,12.05,36,100
7,0,1.3732214298586618,0,69
4,0,1.3732214298586618,24,140
2,1,1.0,97,120
30,0,1.3732214298586618,324,200
30,6,0.33,0,100
3,1,0.12,0,250
1,7,7.0,135,150
5,1,0.05,0,150
14,0,1.3732214298586618,30,82
2,0,1.3732214298586618,88,75
1,0,1.3732214298586618,70,50
5,5,1.95,1,220
8,0,1.3732214298586618,0,150
2,10,0.21,180,210
1,3,0.46,0,50
5,1,0.36,364,40
2,3,0.42,19,40
1,0,1.3732214298586618,360,100
2,24,1.63,188,125
1,2,0.06,0,150
5,2,0.05,0,75
3,1,0.59,92,185
2,31,2.66,142,465
